종목코드,종목명,종가,대비,등락률,상장시가총액
"026960","동서","24550","50","0.20","2447635.0"
"030000","제일기획","22000","-350","-1.57","2530907.0"
"052690","한전기술","62900","-400","-0.63","2404038.0"
"012750","에스원","63500","0","0.00","2412948.0"
"047050","포스코인터내셔널","19150","-500","-2.54","2362634.0"
"001040","CJ","78200","-700","-0.89","2281641.0"
"000080","하이트진로","29550","-150","-0.51","2072448.0"
"001440","대한전선","1690","-10","-0.59","2103159.0"
"004170","신세계","217500","-500","-0.23","2141327.0"
"006280","녹십자","178000","-2000","-1.11","2080204.0"
"138930","BNK금융지주","6660","0","0.00","2170729.0"
"042660","대우조선해양","20350","-200","-0.97","2183365.0"
"047040","대우건설","5350","30","0.56","2223581.0"
"069620","대웅제약","189500","4000","2.16","2195656.0"
"039490","키움증권","81600","500","0.62","2139512.0"
"000990","DB하이텍","44300","-450","-1.01","1966857.0"
"336260","두산퓨얼셀","30000","0","0.00","1964812.0"
"112610","씨에스윈드","47500","-450","-0.94","2003142.0"
"088350","한화생명","2195","-25","-1.13","1906423.0"
"000880","한화","24400","0","0.00","1828993.0"
"006260","LS","53800","-400","-0.74","1732360.0"
"285130","SK케미칼","104500","-500","-0.48","1841372.0"
"111770","영원무역","39700","-200","-0.50","1759165.0"
"081660","휠라홀딩스","30050","-100","-0.33","1825604.0"
"003090","대웅","27850","50","0.18","1619254.0"
"004000","롯데정밀화학","64200","-400","-0.62","1656360.0"
"004370","농심","277000","-500","-0.18","1684892.0"
"007310","오뚜기","450000","-2000","-0.44","1652391.0"
"011210","현대위아","60400","900","1.51","1642583.0"
"298050","효성첨단소재","352000","-500","-0.14","1576942.0"
"019170","신풍제약","31600","-350","-1.10","1674326.0"
"051600","한전KPS","36550","0","0.00","1644750.0"
"079550","LIG넥스원","77700","3300","4.44","1709400.0"
"093370","후성","17550","100","0.57","1625250.0"
"014820","동원시스템즈","53900","1400","2.67","1573255.0"
"004800","효성","74100","-500","-0.67","1561363.0"
"005300","롯데칠성","168000","-500","-0.30","1558853.0"
"005850","에스엘","30700","-400","-1.29","1425970.0"
"375500","DL이앤씨","40000","-50","-0.12","1547745.0"
"069960","현대백화점","65900","-600","-0.90","1542221.0"
"120110","코오롱인더","51900","-600","-1.14","1428241.0"
"010120","LS ELECTRIC","51100","100","0.20","1533000.0"
"000210","DL","65000","-800","-1.22","1362132.0"
"298020","효성티앤씨","312500","500","0.16","1352401.0"
"009240","한샘","56700","400","0.71","1334374.0"
"000150","두산","66400","0","0.00","1097183.0"
"000240","한국앤컴퍼니","12050","50","0.42","1143970.0"
"001120","LX인터내셔널","31000","350","1.14","1201560.0"
"001230","동국제강","12600","-150","-1.18","1202452.0"
"271940","일진하이솔루스","32900","-400","-1.20","1194704.0"
"016380","KG스틸","12150","-450","-3.57","1215108.0"
"017800","현대엘리베이","27150","350","1.31","1108132.0"
"020560","아시아나항공","14850","0","0.00","1105015.0"
"185750","종근당","89800","-1100","-1.21","1076526.0"
"010780","아이에스동서","39750","-100","-0.25","1227981.0"
"000670","영풍","527000","-1000","-0.19","970755.0"
"001740","SK네트웍스","4300","55","1.30","1067207.0"
"001800","오리온홀딩스","15000","-50","-0.33","939681.0"
"003240","태광산업","891000","-2000","-0.22","992039.0"
"005250","녹십자홀딩스","20650","-200","-0.96","971133.0"
"300720","한일시멘트","13600","100","0.74","941957.0"
"031430","신세계인터내셔날","29650","-200","-0.67","1058505.0"
"042670","현대두산인프라코어","5400","120","2.27","1067922.0"
"073240","금호타이어","3455","35","1.02","992484.0"
"178920","PI첨단소재","35350","350","1.00","1038099.0"
"009900","명신산업","18050","-200","-1.10","947086.0"
"001680","대상","21700","-100","-0.46","751862.0"
"381970","케이카","18800","400","2.17","904027.0"
"006040","동원산업","216500","0","0.00","796209.0"
"006650","대한유화","125500","0","0.00","815750.0"
"009420","한올바이오파마","16650","50","0.30","869807.0"
"013890","지누스","47500","150","0.32","818540.0"
"020000","한섬","30650","-100","-0.33","754910.0"
"032350","롯데관광개발","11400","-100","-0.87","824592.0"
"039130","하나투어","50100","-200","-0.40","803563.0"
"069260","TKG휴켐스","19550","0","0.00","799176.0"
"114090","GKL","13950","-50","-0.36","862887.0"
"161890","한국콜마","38150","-250","-0.65","872917.0"
"192080","더블유게임즈","41250","-50","-0.12","757948.0"
"192820","코스맥스","70900","400","0.57","804680.0"
"241590","화승엔터프라이즈","12350","150","1.23","748169.0"
"294870","HDC현대산업개발","11350","100","0.89","748048.0"
"005440","현대그린푸드","7670","70","0.92","749393.0"
"000070","삼양홀딩스","72200","-500","-0.69","618340.0"
"003850","보령","10500","-50","-0.47","721245.0"
"004490","세방전지","51600","100","0.19","722400.0"
"284740","쿠쿠홈시스","29600","-750","-2.47","664145.0"
"103140","풍산","25350","150","0.60","710415.0"
"105630","한세실업","16600","-150","-0.90","664000.0"
"057050","현대홈쇼핑","51600","-800","-1.53","619200.0"
