날짜,종가,오픈,고가,저가,변동 %
1979년 6월,8.91,8.91,8.91,8.91,-3.68%
1979년 7월,8.95,8.95,8.95,8.95,0.45%
1979년 8월,9.03,9.03,9.03,9.03,0.89%
1979년 9월,9.33,9.33,9.33,9.33,3.32%
1979년 10월,10.3,10.3,10.3,10.3,10.40%
1979년 11월,10.65,10.65,10.65,10.65,3.40%
1979년 12월,10.39,10.39,10.39,10.39,-2.44%
1980년 1월,11.11,11.11,11.11,11.11,6.93%
1980년 2월,12.699,12.699,12.699,12.699,14.30%
1980년 3월,12.604,12.604,12.604,12.604,-0.75%
1980년 4월,10.719,10.719,10.719,10.719,-14.96%
1980년 5월,10.208,10.208,10.208,10.208,-4.77%
1980년 6월,9.433,9.433,9.433,9.433,-7.59%
1980년 7월,10.25,10.25,10.25,10.25,8.66%
1980년 8월,10.838,10.838,10.838,10.838,5.74%
1980년 9월,11.836,11.836,11.836,11.836,9.21%
1980년 10월,12.429,12.429,12.429,12.429,5.01%
1980년 11월,12.426,12.426,12.426,12.426,-0.02%
1980년 12월,12.411,12.411,12.411,12.411,-0.12%
1981년 1월,12.67,12.67,12.67,12.67,2.09%
1981년 2월,13.411,13.411,13.411,13.411,5.85%
1981년 3월,13.101,13.101,13.101,13.101,-2.31%
1981년 4월,14.088,14.088,14.088,14.088,7.53%
1981년 5월,13.402,13.402,13.402,13.402,-4.87%
1981년 6월,13.85,13.85,13.85,13.85,3.34%
1981년 7월,14.651,14.651,14.651,14.651,5.78%
1981년 8월,15.37,15.37,15.37,15.37,4.91%
1981년 9월,15.82,15.82,15.82,15.82,2.93%
1981년 10월,14.611,14.611,14.611,14.611,-7.64%
1981년 11월,13.221,13.221,13.221,13.221,-9.51%
1981년 12월,13.96,13.96,13.96,13.96,5.59%
1982년 1월,14.114,14.114,14.114,14.114,1.10%
1982년 2월,13.946,13.946,13.946,13.946,-1.19%
1982년 3월,14.148,14.148,14.148,14.148,1.45%
1982년 4월,13.844,13.844,13.844,13.844,-2.15%
1982년 5월,13.776,13.776,13.776,13.776,-0.49%
1982년 6월,14.407,14.407,14.407,14.407,4.58%
1982년 7월,13.661,13.661,13.661,13.661,-5.18%
1982년 8월,12.792,12.792,12.792,12.792,-6.36%
1982년 9월,11.993,11.993,11.993,11.993,-6.25%
1982년 10월,11.122,11.122,11.122,11.122,-7.26%
1982년 11월,11.257,11.257,11.257,11.257,1.21%
1982년 12월,10.319,10.319,10.319,10.319,-8.33%
1983년 1월,10.774,10.774,10.774,10.774,4.41%
1983년 2월,10.218,10.218,10.218,10.218,-5.16%
1983년 3월,10.604,10.604,10.604,10.604,3.78%
1983년 4월,10.24,10.24,10.24,10.24,-3.43%
1983년 5월,10.854,10.854,10.854,10.854,6.00%
1983년 6월,10.926,10.926,10.926,10.926,0.66%
1983년 7월,11.736,11.736,11.736,11.736,7.41%
1983년 8월,11.798,11.798,11.798,11.798,0.53%
1983년 9월,11.394,11.394,11.394,11.394,-3.42%
1983년 10월,11.707,11.707,11.707,11.707,2.75%
1983년 11월,11.611,11.611,11.611,11.611,-0.82%
1983년 12월,11.781,11.781,11.781,11.781,1.46%
1984년 1월,11.638,11.638,11.638,11.638,-1.21%
1984년 2월,12.006,12.006,12.006,12.006,3.16%
1984년 3월,12.502,12.502,12.502,12.502,4.13%
1984년 4월,12.799,12.799,12.799,12.799,2.38%
1984년 5월,13.873,13.873,13.873,13.873,8.39%
1984년 6월,13.827,13.827,13.827,13.827,-0.33%
1984년 7월,12.897,12.897,12.897,12.897,-6.73%
1984년 8월,12.858,12.858,12.858,12.858,-0.30%
1984년 9월,12.462,12.462,12.462,12.462,-3.08%
1984년 10월,11.779,11.779,11.779,11.779,-5.48%
1984년 11월,11.593,11.593,11.593,11.593,-1.58%
1984년 12월,11.542,11.542,11.542,11.542,-0.44%
1985년 1월,11.146,11.146,11.146,11.146,-3.43%
1985년 2월,11.927,11.927,11.927,11.927,7.01%
1985년 3월,11.637,11.637,11.637,11.637,-2.43%
1985년 4월,11.396,11.396,11.396,11.396,-2.07%
1985년 5월,10.289,10.289,10.289,10.289,-9.71%
1985년 6월,10.236,10.236,10.236,10.236,-0.52%
1985년 7월,10.556,10.556,10.556,10.556,3.13%
1985년 8월,10.322,10.322,10.322,10.322,-2.22%
1985년 9월,10.288,10.288,10.288,10.288,-0.33%
1985년 10월,9.99,9.99,9.99,9.99,-2.90%
1985년 11월,9.629,9.629,9.629,9.629,-3.61%
1985년 12월,8.987,8.987,8.987,8.987,-6.67%
1986년 1월,9.044,9.044,9.044,9.044,0.63%
1986년 2월,8.143,8.143,8.143,8.143,-9.96%
1986년 3월,7.379,7.379,7.379,7.379,-9.38%
1986년 4월,7.369,7.369,7.369,7.369,-0.14%
1986년 5월,8.065,8.065,8.065,8.065,9.44%
1986년 6월,7.338,7.338,7.338,7.338,-9.01%
1986년 7월,7.329,7.329,7.329,7.329,-0.12%
1986년 8월,6.923,6.923,6.923,6.923,-5.54%
1986년 9월,7.432,7.432,7.432,7.432,7.35%
1986년 10월,7.31,7.31,7.31,7.31,-1.64%
1986년 11월,7.207,7.207,7.207,7.207,-1.41%
1986년 12월,7.22,7.22,7.22,7.22,0.18%
1987년 1월,7.16,7.16,7.16,7.16,-0.83%
1987년 2월,7.177,7.177,7.177,7.177,0.24%
1987년 3월,7.489,7.489,7.489,7.489,4.35%
1987년 4월,8.182,8.182,8.182,8.182,9.25%
1987년 5월,8.502,8.502,8.502,8.502,3.91%
1987년 6월,8.371,8.371,8.371,8.371,-1.54%
1987년 7월,8.657,8.657,8.657,8.657,3.42%
1987년 8월,8.97,8.97,8.97,8.97,3.62%
1987년 9월,9.637,9.637,9.637,9.637,7.44%
1987년 10월,8.799,8.799,8.799,8.799,-8.70%
1987년 11월,8.989,8.989,8.989,8.989,2.16%
1987년 12월,8.834,8.834,8.834,8.834,-1.72%
1988년 1월,8.272,8.272,8.272,8.272,-6.36%
1988년 2월,8.152,8.152,8.152,8.152,-1.45%
1988년 3월,8.569,8.569,8.569,8.569,5.12%
1988년 4월,8.867,8.867,8.867,8.867,3.48%
1988년 5월,9.213,9.213,9.213,9.213,3.90%
1988년 6월,8.81,8.81,8.81,8.81,-4.37%
1988년 7월,9.118,9.118,9.118,9.118,3.50%
1988년 8월,9.254,9.254,9.254,9.254,1.49%
1988년 9월,8.857,8.857,8.857,8.857,-4.29%
1988년 10월,8.642,8.642,8.642,8.642,-2.43%
1988년 11월,9.062,9.062,9.062,9.062,4.86%
1988년 12월,9.145,9.145,9.145,9.145,0.92%
1989년 1월,9.003,9.003,9.003,9.003,-1.55%
1989년 2월,9.323,9.323,9.323,9.323,3.55%
1989년 3월,9.304,9.304,9.304,9.304,-0.20%
1989년 4월,9.018,9.018,9.018,9.018,-3.07%
1989년 5월,8.603,8.603,8.603,8.603,-4.60%
1989년 6월,8.097,8.097,8.097,8.097,-5.88%
1989년 7월,7.812,7.812,7.812,7.812,-3.52%
1989년 8월,8.256,8.256,8.256,8.256,5.68%
1989년 9월,8.303,8.303,8.303,8.303,0.57%
1989년 10월,7.923,7.923,7.923,7.923,-4.58%
1989년 11월,7.838,7.838,7.838,7.838,-1.07%
1989년 12월,7.933,7.933,7.933,7.933,1.21%
1990년 1월,8.423,8.423,8.423,8.423,6.18%
1990년 2월,8.527,8.527,8.527,8.527,1.23%
1990년 3월,8.621,8.621,8.621,8.621,1.10%
1990년 4월,9.073,9.073,9.073,9.073,5.24%
1990년 5월,8.618,8.618,8.618,8.618,-5.01%
1990년 6월,8.423,8.423,8.423,8.423,-2.26%
1990년 7월,8.351,8.351,8.351,8.351,-0.85%
1990년 8월,8.859,8.859,8.859,8.859,6.08%
1990년 9월,8.81,8.81,8.81,8.81,-0.55%
1990년 10월,8.627,8.627,8.627,8.627,-2.08%
1990년 11월,8.256,8.256,8.256,8.256,-4.30%
1990년 12월,8.079,8.079,8.079,8.079,-2.14%
1991년 1월,8.021,8.021,8.021,8.021,-0.72%
1991년 2월,8.045,8.045,8.045,8.045,0.30%
1991년 3월,8.064,8.064,8.064,8.064,0.24%
1991년 4월,8.018,8.018,8.018,8.018,-0.57%
1991년 5월,8.061,8.061,8.061,8.061,0.54%
1991년 6월,8.232,8.232,8.232,8.232,2.12%
1991년 7월,8.157,8.157,8.157,8.157,-0.91%
1991년 8월,7.814,7.814,7.814,7.814,-4.20%
1991년 9월,7.452,7.452,7.452,7.452,-4.63%
1991년 10월,7.422,7.422,7.422,7.422,-0.40%
1991년 11월,7.374,7.374,7.374,7.374,-0.65%
1991년 12월,6.699,6.699,6.699,6.699,-9.15%
1992년 1월,7.276,7.276,7.276,7.276,8.61%
1992년 2월,7.252,7.252,7.252,7.252,-0.33%
1992년 3월,7.53,7.53,7.53,7.53,3.83%
1992년 4월,7.583,7.583,7.583,7.583,0.70%
1992년 5월,7.322,7.322,7.322,7.322,-3.44%
1992년 6월,7.123,7.123,7.123,7.123,-2.72%
1992년 7월,6.696,6.696,6.696,6.696,-5.99%
1992년 8월,6.604,6.604,6.604,6.604,-1.37%
1992년 9월,6.354,6.354,6.354,6.354,-3.79%
1992년 10월,6.789,6.789,6.789,6.789,6.85%
1992년 11월,6.928,6.928,6.928,6.928,2.05%
1992년 12월,6.69,6.69,6.69,6.69,-3.44%
1993년 1월,6.361,6.361,6.361,6.361,-4.92%
1993년 2월,6.013,6.013,6.013,6.013,-5.47%
1993년 3월,6.024,6.024,6.024,6.024,0.18%
1993년 4월,6.009,6.009,6.009,6.009,-0.25%
1993년 5월,6.11,6.11,6.11,6.11,1.68%
1993년 6월,5.778,5.778,5.778,5.778,-5.43%
1993년 7월,5.809,5.809,5.809,5.809,0.54%
1993년 8월,5.446,5.446,5.446,5.446,-6.25%
1993년 9월,5.374,5.374,5.374,5.374,-1.32%
1993년 10월,5.42,5.42,5.42,5.42,0.86%
1993년 11월,5.817,5.817,5.817,5.817,7.32%
1993년 12월,5.787,5.787,5.787,5.787,-0.52%
1994년 1월,5.645,5.645,5.645,5.645,-2.45%
1994년 2월,6.133,6.133,6.133,6.133,8.64%
1994년 3월,6.738,6.738,6.738,6.738,9.86%
1994년 4월,7.041,7.041,7.041,7.041,4.50%
1994년 5월,7.152,7.152,7.152,7.152,1.58%
1994년 6월,7.325,7.325,7.325,7.325,2.42%
1994년 7월,7.113,7.113,7.113,7.113,-2.89%
1994년 8월,7.178,7.178,7.178,7.178,0.91%
1994년 9월,7.608,7.608,7.608,7.608,5.99%
1994년 10월,7.812,7.812,7.812,7.812,2.68%
1994년 11월,7.906,7.906,7.906,7.906,1.20%
1994년 12월,7.831,7.831,7.831,7.831,-0.95%
1995년 1월,7.579,7.579,7.579,7.579,-3.22%
1995년 2월,7.205,7.205,7.205,7.205,-4.93%
1995년 3월,7.198,7.198,7.198,7.198,-0.10%
1995년 4월,7.055,7.055,7.055,7.055,-1.99%
1995년 5월,6.286,6.286,6.286,6.286,-10.90%
1995년 6월,6.207,6.207,6.207,6.207,-1.26%
1995년 7월,6.424,6.424,6.424,6.424,3.50%
1995년 8월,6.286,6.286,6.286,6.286,-2.15%
1995년 9월,6.182,6.182,6.182,6.182,-1.65%
1995년 10월,6.024,6.024,6.024,6.024,-2.56%
1995년 11월,5.745,5.745,5.745,5.745,-4.63%
1995년 12월,5.575,5.575,5.575,5.575,-2.96%
1996년 1월,5.576,5.576,5.576,5.576,0.02%
1996년 2월,6.103,6.103,6.103,6.103,9.45%
1996년 3월,6.334,6.334,6.334,6.334,3.79%
1996년 4월,6.679,6.679,6.679,6.679,5.45%
1996년 5월,6.848,6.848,6.848,6.848,2.53%
1996년 6월,6.716,6.716,6.716,6.716,-1.93%
1996년 7월,6.798,6.798,6.798,6.798,1.22%
1996년 8월,6.945,6.945,6.945,6.945,2.16%
1996년 9월,6.703,6.703,6.703,6.703,-3.48%
1996년 10월,6.341,6.341,6.341,6.341,-5.40%
1996년 11월,6.048,6.048,6.048,6.048,-4.62%
1996년 12월,6.429,6.429,6.429,6.429,6.30%
1997년 1월,6.503,6.503,6.503,6.503,1.15%
1997년 2월,6.556,6.556,6.556,6.556,0.82%
1997년 3월,6.907,6.907,6.907,6.907,5.35%
1997년 4월,6.715,6.715,6.715,6.715,-2.78%
1997년 5월,6.663,6.663,6.663,6.663,-0.77%
1997년 6월,6.502,6.502,6.502,6.502,-2.42%
1997년 7월,6.013,6.013,6.013,6.013,-7.52%
1997년 8월,6.339,6.339,6.339,6.339,5.42%
1997년 9월,6.103,6.103,6.103,6.103,-3.72%
1997년 10월,5.831,5.831,5.831,5.831,-4.46%
1997년 11월,5.88,5.88,5.88,5.88,0.84%
1997년 12월,5.744,5.744,5.744,5.744,-2.31%
1998년 1월,5.516,5.516,5.516,5.516,-3.97%
1998년 2월,5.624,5.624,5.624,5.624,1.96%
1998년 3월,5.658,5.658,5.658,5.658,0.60%
1998년 4월,5.82,5.82,5.82,5.82,2.86%
1998년 5월,5.558,5.558,5.558,5.558,-4.50%
1998년 6월,5.446,5.446,5.446,5.446,-2.02%
1998년 7월,5.494,5.494,5.494,5.494,0.88%
1998년 8월,5.048,5.048,5.048,5.048,-8.12%
1998년 9월,4.422,4.422,4.422,4.422,-12.40%
1998년 10월,4.603,4.603,4.603,4.603,4.09%
1998년 11월,4.722,4.722,4.722,4.722,2.59%
1998년 12월,4.658,4.658,4.658,4.658,-1.36%
1999년 1월,4.653,4.653,4.653,4.653,-0.11%
1999년 2월,5.294,5.294,5.294,5.294,13.78%
1999년 3월,5.242,5.242,5.242,5.242,-0.98%
1999년 4월,5.35,5.35,5.35,5.35,2.06%
1999년 5월,5.624,5.624,5.624,5.624,5.12%
1999년 6월,5.785,5.785,5.785,5.785,2.86%
1999년 7월,5.902,5.902,5.902,5.902,2.02%
1999년 8월,5.974,5.974,5.974,5.974,1.22%
1999년 9월,5.881,5.881,5.881,5.881,-1.56%
1999년 10월,6.028,6.028,6.028,6.028,2.50%
1999년 11월,6.193,6.193,6.193,6.193,2.74%
1999년 12월,6.435,6.435,6.435,6.435,3.91%
2000년 1월,6.662,6.662,6.662,6.662,3.53%
2000년 2월,6.409,6.409,6.409,6.409,-3.80%
2000년 3월,6.002,6.002,6.002,6.002,-6.35%
2000년 4월,6.218,6.218,6.218,6.218,3.60%
2000년 5월,6.285,6.285,6.285,6.285,1.08%
2000년 6월,6.027,6.027,6.027,6.027,-4.11%
2000년 7월,6.04,6.04,6.04,6.04,0.22%
2000년 8월,5.729,5.729,5.729,5.729,-5.15%
2000년 9월,5.808,5.808,5.808,5.808,1.38%
2000년 10월,5.761,5.761,5.761,5.761,-0.81%
2000년 11월,5.478,5.478,5.478,5.478,-4.91%
2000년 12월,5.112,5.112,5.112,5.112,-6.68%
2001년 1월,5.112,5.112,5.112,5.112,0.00%
2001년 2월,4.904,4.904,4.904,4.904,-4.07%
2001년 3월,4.915,4.915,4.915,4.915,0.22%
2001년 4월,5.336,5.336,5.336,5.336,8.57%
2001년 5월,5.385,5.385,5.385,5.385,0.92%
2001년 6월,5.404,5.404,5.404,5.404,0.35%
2001년 7월,5.055,5.055,5.055,5.055,-6.46%
2001년 8월,4.84,4.84,4.84,4.84,-4.25%
2001년 9월,4.59,4.59,4.59,4.59,-5.17%
2001년 10월,4.244,4.244,4.244,4.244,-7.54%
2001년 11월,4.754,4.754,4.754,4.754,12.02%
2001년 12월,5.029,5.029,5.029,5.029,5.78%
2002년 1월,5.046,5.046,5.046,5.046,0.34%
2002년 2월,4.874,4.874,4.874,4.874,-3.41%
2002년 3월,5.406,5.406,5.406,5.406,10.92%
2002년 4월,5.089,5.089,5.089,5.089,-5.86%
2002년 5월,5.045,5.045,5.045,5.045,-0.86%
2002년 6월,4.809,4.809,4.809,4.809,-4.68%
2002년 7월,4.459,4.459,4.459,4.459,-7.28%
2002년 8월,4.13,4.13,4.13,4.13,-7.38%
2002년 9월,3.6,3.6,3.6,3.6,-12.83%
2002년 10월,3.895,3.895,3.895,3.895,8.19%
2002년 11월,4.211,4.211,4.211,4.211,8.11%
2002년 12월,3.818,3.818,3.818,3.818,-9.33%
2003년 1월,3.966,3.966,3.966,3.966,3.88%
2003년 2월,3.692,3.692,3.692,3.692,-6.91%
2003년 3월,3.802,3.802,3.802,3.802,2.98%
2003년 4월,3.84,3.84,3.84,3.84,1.00%
2003년 5월,3.373,3.373,3.373,3.373,-12.16%
2003년 6월,3.516,3.516,3.516,3.516,4.24%
2003년 7월,4.41,4.41,4.41,4.41,25.43%
2003년 8월,4.47,4.47,4.47,4.47,1.36%
2003년 9월,3.94,3.94,3.94,3.94,-11.86%
2003년 10월,4.297,4.297,4.297,4.297,9.06%
2003년 11월,4.334,4.334,4.334,4.334,0.86%
2003년 12월,4.253,4.253,4.253,4.253,-1.87%
2004년 1월,4.134,4.134,4.134,4.134,-2.80%
2004년 2월,3.972,3.972,3.972,3.972,-3.92%
2004년 3월,3.837,3.837,3.837,3.837,-3.40%
2004년 4월,4.51,4.51,4.51,4.51,17.54%
2004년 5월,4.665,4.665,4.665,4.665,3.44%
2004년 6월,4.583,4.583,4.583,4.583,-1.76%
2004년 7월,4.491,4.491,4.491,4.491,-2.01%
2004년 8월,4.24,4.24,4.24,4.24,-5.59%
2004년 9월,4.123,4.123,4.123,4.123,-2.76%
2004년 10월,4.029,4.029,4.029,4.029,-2.28%
2004년 11월,4.355,4.355,4.355,4.355,8.09%
2004년 12월,4.222,4.222,4.222,4.222,-3.05%
2005년 1월,4.132,4.132,4.132,4.132,-2.13%
2005년 2월,4.381,4.381,4.381,4.381,6.03%
2005년 3월,4.488,4.488,4.488,4.488,2.44%
2005년 4월,4.2,4.2,4.2,4.2,-6.42%
2005년 5월,3.987,3.987,3.987,3.987,-5.07%
2005년 6월,3.921,3.921,3.921,3.921,-1.66%
2005년 7월,4.282,4.282,4.282,4.282,9.21%
2005년 8월,4.014,4.014,4.014,4.014,-6.26%
2005년 9월,4.332,4.332,4.332,4.332,7.92%
