,code,code_name,smarket,kospi200
1077,245710,KINDEX 베트남VN30(합성),0,0
1078,247780,KODEX 가치투자,0,0
1079,247790,KODEX 성장투자,0,0
1080,247800,KODEX 턴어라운드투자,0,0
1081,248170,샘표식품,0,0
1082,248260,TIGER 일본TOPIX헬스케어(합성),0,0
1083,248270,TIGER S&P글로벌헬스케어(합성),0,0
1084,249420,일동제약,0,0
1085,250730,KBSTAR 차이나HSCEI(H),0,0
1086,250780,TIGER 코스닥150선물인버스,0,0
1087,251270,넷마블,0,1
1088,251340,KODEX 코스닥150선물인버스,0,0
1089,251350,KODEX 선진국MSCI World,0,0
1090,251590,ARIRANG 고배당저변동50,0,0
1091,251600,ARIRANG 고배당주채권혼합,0,0
1092,251890,KINDEX 코스닥(합성),0,0
1093,252000,TIGER 200동일가중,0,0
1094,252400,KBSTAR 200선물레버리지,0,0
1095,252410,KBSTAR 200선물인버스,0,0
1096,252420,KBSTAR 200선물인버스2X,0,0
1097,252650,KODEX 200동일가중,0,0
1098,252670,KODEX 200선물인버스2X,0,0
1099,252710,TIGER 200선물인버스2X,0,0
1100,252720,KBSTAR 모멘텀밸류,0,0
1101,252730,KBSTAR 모멘텀로우볼,0,0
1102,253150,ARIRANG 200선물레버리지,0,0
1103,253160,ARIRANG 200선물인버스2X,0,0
1104,253230,KOSEF 200선물인버스2X,0,0
1105,253240,KOSEF 200선물인버스,0,0
1106,253250,KOSEF 200선물레버리지,0,0
1107,253280,KBSTAR 헬스케어,0,0
1108,253290,KBSTAR 헬스케어채권혼합,0,0
1109,253990,TIGER 대만TAIEX선물(H),0,0
1110,256440,KINDEX 인도네시아MSCI(합성),0,0
1111,256450,ARIRANG 심천차이넥스트(합성),0,0
1112,256750,KODEX 심천ChiNext(합성),0,0
1113,260200,KOSEF 배당바이백Plus,0,0
1114,260270,KOSEF 저PBR가중,0,0
1115,261060,TIGER 코스닥150IT,0,0
1116,261070,TIGER 코스닥150바이오테크,0,0
1117,261110,TIGER 미국달러선물레버리지,0,0
1118,261120,TIGER 미국달러선물인버스2X,0,0
1119,261140,TIGER 우선주,0,0
1120,261220,KODEX WTI원유선물(H),0,0
1121,261240,KODEX 미국달러선물,0,0
1122,261250,KODEX 미국달러선물레버리지,0,0
1123,261260,KODEX 미국달러선물인버스2X,0,0
1124,261270,KODEX 미국달러선물인버스,0,0
1125,261920,KINDEX 필리핀MSCI(합성),0,0
1126,263190,ARIRANG 단기우량채권,0,0
1127,264900,크라운제과,0,0
1128,26490K,크라운제과우,0,0
1129,265690,KINDEX 러시아MSCI(합성),0,0
1130,266140,TIGER 지속배당,0,0
1131,266160,KBSTAR 고배당,0,0
1132,266360,KODEX IT소프트웨어,0,0
1133,266370,KODEX IT하드웨어,0,0
1134,266390,KODEX 경기소비재,0,0
1135,266410,KODEX 필수소비재,0,0
1136,266420,KODEX 헬스케어,0,0
1137,266550,ARIRANG 중형주저변동50,0,0
1138,267250,현대중공업지주,0,1
1139,267260,현대일렉트릭,0,0
1140,267270,현대건설기계,0,0
1141,267290,경동도시가스,0,0
1142,267300,TIGER 코스닥150로우볼,0,0
1143,267440,KBSTAR 미국장기국채선물(H),0,0
1144,267450,KBSTAR 미국장기국채선물인버스(H),0,0
1145,267490,KBSTAR 미국장기국채선물레버리지(합성 H),0,0
1146,267500,KBSTAR 미국장기국채선물인버스2X(합성 H),0,0
1147,267770,TIGER 200선물레버리지,0,0
1148,268280,미원에스씨,0,0
1149,269370,TIGER S&P글로벌인프라(합성),0,0
1150,269420,KODEX S&P글로벌인프라(합성),0,0
1151,269530,ARIRANG S&P글로벌인프라,0,0
1152,269540,ARIRANG 미국S&P500(H),0,0
1153,270800,KBSTAR KQ고배당,0,0
1154,270810,KBSTAR 코스닥150,0,0
1155,271050,KODEX WTI원유선물인버스(H),0,0
1156,271060,KODEX 3대농산물선물(H),0,0
1157,271560,오리온,0,1
1158,271980,제일약품,0,0
1159,272220,KINDEX 스마트모멘텀,0,0
1160,272230,KINDEX 스마트밸류,0,0
1161,272450,진에어,0,0
1162,272550,삼양패키징,0,0
1163,272560,KBSTAR 단기국공채액티브,0,0
1164,272570,KBSTAR 중장기국공채액티브,0,0
1165,272580,TIGER 단기채권액티브,0,0
1166,272910,KINDEX 중장기국공채액티브,0,0
1167,273130,KODEX 종합채권(AA-이상)액티브,0,0
1168,273140,KODEX 단기변동금리부채권액티브,0,0
1169,275280,KODEX MSCI모멘텀,0,0
1170,275290,KODEX MSCI밸류,0,0
1171,275300,KODEX MSCI퀄리티,0,0
1172,275540,파워 스마트밸류,0,0
1173,275750,KBSTAR 코스닥150선물인버스,0,0
1174,275980,TIGER 글로벌4차산업혁신기술(합성 H),0,0
1175,276000,TIGER 글로벌자원생산기업(합성 H),0,0
1176,276650,KBSTAR 글로벌4차산업IT(합성 H),0,0
1177,276970,KODEX 미국S&P고배당커버드콜(합성 H),0,0
1178,276990,KODEX 글로벌4차산업로보틱스(합성),0,0
1179,277540,KINDEX S&P아시아TOP50,0,0
1180,277630,TIGER 코스피,0,0
1181,277640,TIGER 코스피대형주,0,0
1182,277650,TIGER 코스피중형주,0,0
1183,278240,KBSTAR 코스닥150선물레버리지,0,0
1184,278420,ARIRANG ESG우수기업,0,0
1185,278530,KODEX 200TR,0,0
1186,278540,KODEX MSCI Korea TR,0,0
1187,278620,ARIRANG 단기채권액티브,0,0
1188,279530,KODEX 고배당,0,0
1189,279540,KODEX 최소변동성,0,0
1190,280320,KINDEX 미국4차산업인터넷(합성 H),0,0
1191,280360,롯데제과,0,0
1192,280920,ARIRANG 주도업종,0,0
1193,280930,KODEX 미국러셀2000(H),0,0
1194,280940,KODEX 골드선물인버스(H),0,0
1195,281820,케이씨텍,0,0
1196,281990,KBSTAR 중소형고배당,0,0
1197,282000,KBSTAR 국고채3년선물인버스,0,0
1198,282330,BGF리테일,0,1
1199,282690,동아타이어,0,0
1200,283580,KODEX 중국본토CSI300,0,0
1201,283930,KBSTAR 지주회사,0,0
1202,284430,KODEX 200미국채혼합,0,0
1203,284740,쿠쿠홈시스,0,0
1204,284980,KBSTAR 200금융,0,0
1205,284990,KBSTAR 200에너지화학,0,0
1206,285000,KBSTAR 200IT,0,0
1207,285010,KBSTAR 200중공업,0,0
1208,285020,KBSTAR 200철강소재,0,0
1209,285130,SK케미칼,0,1
1210,28513K,SK케미칼우,0,0
1211,285690,FOCUS ESG리더스,0,0
1212,286940,롯데정보통신,0,0
1213,287180,ARIRANG 미국나스닥기술주,0,0
1214,287300,KBSTAR 200건설,0,0
1215,287310,KBSTAR 200경기소비재,0,0
1216,287320,KBSTAR 200산업재,0,0
1217,287330,KBSTAR 200생활소비재,0,0
1218,289040,KODEX MSCI KOREA ESG유니버설,0,0
1219,289250,TIGER MSCI KOREA ESG유니버설,0,0
1220,289260,TIGER MSCI KOREA ESG리더스,0,0
1221,289480,TIGER 200커버드콜ATM,0,0
1222,289670,ARIRANG 국채선물10년,0,0
1223,290080,KBSTAR 200고배당커버드콜ATM,0,0
1224,290130,KBSTAR ESG사회책임투자,0,0
1225,291130,KINDEX 멕시코MSCI(합성),0,0
1226,291610,KOSEF 코스닥150선물,0,0
1227,291620,KOSEF 코스닥150선물인버스,0,0
1228,291630,KOSEF 코스닥150선물레버리지,0,0
1229,291660,KODEX China H선물인버스(H),0,0
1230,291680,KBSTAR 차이나H선물인버스(H),0,0
1231,291890,KODEX MSCI EM선물(H),0,0
1232,292050,KBSTAR KRX300,0,0
1233,292100,TIGER 대형성장,0,0
1234,292110,TIGER 대형가치,0,0
1235,292120,TIGER 중소형,0,0
1236,292130,TIGER 중소형성장,0,0
1237,292140,TIGER 중소형가치,0,0
1238,292150,TIGER TOP10,0,0
1239,292160,TIGER KRX300,0,0
1240,292190,KODEX KRX300,0,0
1241,292340,마이티 200커버드콜ATM레버리지,0,0
1242,292500,SMART KRX300,0,0
1243,292560,TIGER 일본엔선물,0,0
1244,292570,TIGER 일본엔선물레버리지,0,0
1245,292580,TIGER 일본엔선물인버스,0,0
1246,292590,TIGER 일본엔선물인버스2X,0,0
1247,292730,FOCUS KRX300,0,0
1248,292750,ARIRANG KRX300,0,0
1249,292770,KODEX 국채선물3년인버스,0,0
1250,293180,HANARO 200,0,0
1251,293940,신한알파리츠,0,0
1252,294400,KOSEF 200TR,0,0
1253,294870,HDC현대산업개발,0,1
1254,295000,KBSTAR 국채선물10년,0,0
1255,295020,KBSTAR 국채선물10년인버스,0,0
1256,295040,SMART 200TR,0,0
1257,295820,ARIRANG 200동일가중,0,0
1258,295840,ARIRANG 200밸류,0,0
1259,295860,ARIRANG 200모멘텀,0,0
1260,295880,ARIRANG 200퀄리티,0,0
1261,295890,ARIRANG 200로우볼,0,0
1262,296710,KODEX FnKorea50,0,0
1263,298000,효성화학,0,0
1264,298020,효성티앤씨,0,0
1265,298040,효성중공업,0,1
1266,298050,효성첨단소재,0,0
1267,298340,ARIRANG 국채선물3년,0,0
1268,298770,KODEX 한국대만IT프리미어,0,0
1269,299070,KINDEX 국채선물10년인버스,0,0
1270,299080,KINDEX 국채선물3년인버스,0,0
1271,300280,KBSTAR 중소형모멘텀로우볼,0,0
1272,300290,KBSTAR 중소형모멘텀밸류,0,0
1273,300300,KBSTAR KQ모멘텀로우볼,0,0
1274,300310,KBSTAR KQ모멘텀밸류,0,0
1275,300610,TIGER K게임,0,0
1276,300640,KBSTAR 게임테마,0,0
1277,300720,한일시멘트,0,0
1278,300950,KODEX 게임산업,0,0
1279,301400,ARIRANG 코스닥150,0,0
1280,301410,ARIRANG 코스닥150선물인버스,0,0
1281,301440,ARIRANG 코스피중형주,0,0
1282,302170,TIGER 국채선물3년인버스,0,0
1283,302180,TIGER 국채선물10년인버스,0,0
1284,302190,TIGER 중장기국채,0,0
1285,302200,TIGER 중장기국채선물인버스,0,0
1286,302210,TIGER 중장기국채선물인버스2X,0,0
1287,302450,KBSTAR 코스피,0,0
1288,304760,HANARO KRX300,0,0
1289,304770,HANARO 코스닥150,0,0
1290,304780,HANARO 200선물레버리지,0,0
1291,304940,KODEX 미국나스닥100선물(H),0,0
1292,305080,TIGER 미국채10년선물,0,0
1293,500007,신한 인버스 은 선물 ETN(H),0,0
1294,500033,신한 K200 C-SP 1812-01 ETN,0,0
1295,500001,신한 K200 USD 선물 바이셀 ETN,0,0
1296,500002,신한 USD K200 선물 바이셀 ETN,0,0
1297,500035,신한 레버리지 미국달러 선물 ETN,0,0
1298,500036,신한 인버스 2X 미국달러 선물 ETN,0,0
1299,500020,신한 레버리지 다우존스지수 선물 ETN(H),0,0
1300,500028,신한 인버스 2X 다우존스지수 선물 ETN(H),0,0
1301,500003,신한 인버스 WTI원유 선물 ETN(H),0,0
1302,500004,신한 브렌트원유 선물 ETN(H),0,0
1303,500005,신한 인버스 브렌트원유 선물 ETN(H),0,0
1304,500006,신한 인버스 금 선물 ETN(H),0,0
1305,500008,신한 인버스 구리 선물 ETN(H),0,0
1306,500009,신한 다우존스지수 선물 ETN(H),0,0
1307,500010,신한 인버스 다우존스지수 선물 ETN(H),0,0
1308,500011,신한 달러인덱스 선물 ETN(H),0,0
1309,500012,신한 인버스 달러인덱스 선물 ETN(H),0,0
1310,500013,신한 옥수수 선물 ETN(H),0,0
1311,500014,신한 인버스 옥수수 선물 ETN(H),0,0
1312,500015,신한 WTI원유 선물 ETN(H),0,0
1313,500016,신한 금 선물 ETN(H),0,0
1314,500017,신한 은 선물 ETN(H),0,0
1315,500018,신한 구리 선물 ETN(H),0,0
1316,500019,신한 레버리지 WTI원유 선물 ETN(H),0,0
1317,500021,신한 천연가스 선물 ETN(H),0,0
1318,500022,신한 인버스 천연가스 선물 ETN(H),0,0
1319,500023,신한 콩 선물 ETN(H),0,0
1320,500024,신한 인버스 콩 선물 ETN(H),0,0
1321,500027,신한 인버스 2X WTI원유 선물 ETN(H),0,0
1322,500029,신한 레버리지 은 선물 ETN(H),0,0
1323,500030,신한 인버스 2X 은 선물 ETN(H),0,0
1324,500031,신한 레버리지 천연가스 선물 ETN(H),0,0
1325,500032,신한 인버스 2X 천연가스 선물 ETN(H),0,0
1326,500037,신한 레버리지 금 선물 ETN,0,0
1327,500038,신한 인버스 2X 금 선물 ETN,0,0
1328,500034,신한 S&P500 VIX S/T 선물 ETN,0,0
1329,500025,신한 MSCI 인도네시아 선물 ETN(H),0,0
1330,500026,신한 인버스 MSCI 인도네시아 선물 ETN(H),0,0
1331,510001,대신 WTI원유 선물 ETN(H),0,0
1332,510002,대신 아연선물 ETN(H),0,0
1333,510003,대신 니켈선물 ETN(H),0,0
1334,510004,대신 인버스 아연선물 ETN(H),0,0
1335,510005,대신 2X 아연선물 ETN(H),0,0
1336,510006,대신 인버스 니켈선물 ETN(H),0,0
1337,510007,대신 2X 니켈선물 ETN(H),0,0
1338,510010,대신 인버스 2X 니켈선물 ETN(H),0,0
1339,510008,대신 철광석 선물 ETN(H),0,0
1340,510009,대신 인버스 철광석 선물 ETN(H),0,0
1341,520004,미래에셋 전기전자 Core5 ETN,0,0
1342,520005,미래에셋 인버스 전기전자 Core5 ETN,0,0
